Выжил,Титул,Длина имени,Пол,Возраст,Братья сёстры супруги,Родители и дети,Один,Маленькая семья,Большая семья,Класс билета,Длина билета,Стоимость билета,Каюта,Порт посадки
0,Mr.,23,male,22.0,1,0,0,1,0,3,9,7.25,G,S
1,Mrs.,51,female,38.0,1,0,0,1,0,1,8,71.2833,Other,C
1,Miss.,22,female,26.0,0,0,1,0,0,3,16,7.925,G,S
1,Mrs.,44,female,35.0,1,0,0,1,0,1,6,53.1,Other,S
0,Mr.,24,male,35.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,16,male,32.0,0,0,1,0,0,3,6,8.4583,G,Q
0,Mr.,23,male,54.0,0,0,1,0,0,1,5,51.8625,Other,S
0,Master.,30,male,2.0,3,1,0,0,1,3,6,21.075,G,S
1,Mrs.,49,female,27.0,0,2,0,1,0,3,6,11.1333,G,S
1,Mrs.,35,female,14.0,1,0,0,1,0,2,6,30.0708,F,C
1,Miss.,31,female,4.0,1,1,0,1,0,3,7,16.7,G6,S
1,Miss.,24,female,58.0,0,0,1,0,0,1,6,26.55,Other,S
0,Mr.,30,male,20.0,0,0,1,0,0,3,9,8.05,G,S
0,Mr.,27,male,39.0,1,5,0,0,1,3,6,31.275,G,S
0,Miss.,36,female,14.0,0,0,1,0,0,3,6,7.8542,G,S
1,Mrs.,32,female,55.0,0,0,1,0,0,2,6,16.0,D,S
0,Master.,20,male,2.0,4,1,0,0,1,3,6,29.125,G,Q
1,Mr.,28,male,32.0,0,0,1,0,0,2,6,13.0,D,S
0,Mrs.,55,female,31.0,1,0,0,1,0,3,6,18.0,G,S
1,Mrs.,23,female,32.0,0,0,1,0,0,3,4,7.225,G,C
0,Mr.,20,male,35.0,0,0,1,0,0,2,6,26.0,F,S
1,Mr.,21,male,34.0,0,0,1,0,0,2,6,13.0,Other,S
1,Miss.,27,female,15.0,0,0,1,0,0,3,6,8.0292,G,Q
1,Mr.,28,male,28.0,0,0,1,0,0,1,6,35.5,Other,S
0,Miss.,29,female,8.0,3,1,0,0,1,3,6,21.075,G,S
1,Mrs.,57,female,38.0,1,5,0,0,1,3,6,31.3875,G,S
0,Mr.,23,male,32.0,0,0,1,0,0,3,4,7.225,G,C
0,Mr.,30,male,19.0,3,2,0,0,1,1,5,263.0,C23 C25 C27,S
1,Miss.,29,female,32.0,0,0,1,0,0,3,6,7.8792,G,Q
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
0,Other,24,male,40.0,0,0,1,0,0,1,8,27.7208,A,C
1,Mrs.,46,female,34.0,1,0,0,1,0,1,8,146.5208,Other,C
1,Miss.,24,female,32.0,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,21,male,66.0,0,0,1,0,0,2,10,10.5,D,S
0,Mr.,23,male,28.0,1,0,0,1,0,1,8,82.1708,C,C
0,Mr.,30,male,42.0,1,0,0,1,0,1,6,52.0,B,S
1,Mr.,16,male,32.0,0,0,1,0,0,3,4,7.2292,G,C
0,Mr.,24,male,21.0,0,0,1,0,0,3,10,8.05,G,S
0,Miss.,34,female,18.0,2,0,0,1,0,3,6,18.0,G,S
1,Miss.,27,female,14.0,1,0,0,1,0,3,4,11.2417,G,C
0,Mrs.,46,female,40.0,1,0,0,1,0,3,4,9.475,G,S
0,Mrs.,56,female,27.0,1,0,0,1,0,2,5,21.0,D,S
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.8958,G,C
1,Miss.,40,female,3.0,1,2,0,1,0,2,13,41.5792,F,C
1,Miss.,29,female,19.0,0,0,1,0,0,3,6,7.8792,G,Q
0,Mr.,24,male,32.0,0,0,1,0,0,3,15,8.05,G,S
0,Mr.,17,male,34.0,1,0,0,1,0,3,6,15.5,G,Q
1,Miss.,25,female,32.0,0,0,1,0,0,3,5,7.75,G,Q
0,Mr.,19,male,32.0,2,0,0,1,0,3,4,21.6792,G,C
0,Mrs.,45,female,18.0,1,0,0,1,0,3,6,17.8,G,S
0,Master.,26,male,7.0,4,1,0,0,1,3,7,39.6875,G,S
0,Mr.,28,male,21.0,0,0,1,0,0,3,10,7.8,G,S
1,Mrs.,40,female,49.0,1,0,0,1,0,1,8,76.7292,Other,C
1,Mrs.,50,female,29.0,1,0,0,1,0,2,4,26.0,F,S
0,Mr.,30,male,65.0,0,1,0,1,0,1,6,61.9792,Other,C
1,Mr.,17,male,32.0,0,0,1,0,0,1,5,35.5,Other,S
1,Miss.,17,female,21.0,0,0,1,0,0,2,10,10.5,D,S
0,Mr.,19,male,28.5,0,0,1,0,0,3,4,7.2292,G,C
1,Miss.,28,female,5.0,1,2,0,1,0,2,10,27.75,F,S
0,Master.,34,male,11.0,5,2,0,0,1,3,7,46.9,G,S
0,Mr.,21,male,22.0,0,0,1,0,0,3,4,7.2292,G,C
1,Miss.,19,female,38.0,0,0,1,0,0,1,6,80.0,Other,C
0,Mr.,27,male,45.0,1,0,0,1,0,1,5,83.475,Other,S
0,Master.,21,male,4.0,3,2,0,0,1,3,6,27.9,G,S
0,Mr.,21,male,32.0,0,0,1,0,0,1,8,27.7208,A,C
1,Master.,24,male,27.0,1,1,0,1,0,3,4,15.2458,G,C
1,Mrs.,28,female,29.0,0,0,1,0,0,2,10,10.5,F33,S
0,Mr.,24,male,19.0,0,0,1,0,0,3,9,8.1583,G,S
1,Miss.,31,female,17.0,4,2,0,0,1,3,7,7.925,G,S
0,Mr.,17,male,26.0,2,0,0,1,0,3,6,8.6625,G,S
0,Mr.,26,male,32.0,0,0,1,0,0,2,10,10.5,D,S
0,Miss.,26,female,16.0,5,2,0,0,1,3,7,46.9,G,S
0,Mr.,20,male,21.0,0,0,1,0,0,2,12,73.5,F,S
0,Mr.,27,male,26.0,1,0,0,1,0,3,4,14.4542,G,C
1,Mr.,13,male,32.0,0,0,1,0,0,3,4,56.4958,G,S
0,Mr.,23,male,25.0,0,0,1,0,0,3,6,7.65,Other,S
0,Mr.,17,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,24,male,32.0,0,0,1,0,0,3,6,8.05,G,S
1,Master.,29,male,0.83,0,2,0,1,0,2,6,29.0,F,S
1,Miss.,24,female,30.0,0,0,1,0,0,3,6,12.475,G,S
0,Mr.,20,male,22.0,0,0,1,0,0,3,6,9.0,G,S
1,Mr.,27,male,29.0,0,0,1,0,0,3,6,9.5,G,S
1,Miss.,30,female,32.0,0,0,1,0,0,3,6,7.7875,G,Q
0,Mr.,23,male,28.0,0,0,1,0,0,1,6,47.1,A,S
1,Miss.,19,female,17.0,0,0,1,0,0,2,10,10.5,D,S
1,Mrs.,55,female,33.0,3,0,0,0,1,3,7,15.85,G,S
0,Mr.,22,male,16.0,1,3,0,0,1,3,10,34.375,G,S
0,Mr.,29,male,32.0,0,0,1,0,0,3,15,8.05,G,S
1,Miss.,26,female,23.0,3,2,0,0,1,1,5,263.0,C23 C25 C27,S
0,Mr.,22,male,24.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,20,male,29.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,26,male,20.0,0,0,1,0,0,3,6,7.8542,G,S
0,Mr.,27,male,46.0,1,0,0,1,0,1,11,61.175,Other,S
0,Mr.,23,male,26.0,1,2,0,1,0,3,9,20.575,G,S
0,Mr.,17,male,59.0,0,0,1,0,0,3,6,7.25,G,S
0,Mr.,27,male,32.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,25,male,71.0,0,0,1,0,0,1,8,34.6542,Other,C
1,Mr.,31,male,23.0,0,1,0,1,0,1,8,63.3583,Other,C
1,Mrs.,36,female,34.0,0,1,0,1,0,2,6,23.0,D,S
0,Mr.,17,male,34.0,1,0,0,1,0,2,6,26.0,F,S
0,Miss.,23,female,28.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,32,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,25,male,21.0,0,1,0,1,0,1,5,77.2875,Other,S
0,Mr.,26,male,33.0,0,0,1,0,0,3,4,8.6542,G,S
0,Mr.,30,male,37.0,2,0,0,1,0,3,7,7.925,G,S
0,Mr.,21,male,28.0,0,0,1,0,0,3,6,7.8958,G,S
1,Miss.,32,female,21.0,0,0,1,0,0,3,6,7.65,G,S
1,Mr.,22,male,32.0,0,0,1,0,0,3,6,7.775,G,S
0,Mr.,15,male,38.0,0,0,1,0,0,3,6,7.8958,G,S
1,Miss.,19,female,34.0,1,0,0,1,0,3,6,24.15,G,Q
0,Mr.,30,male,47.0,0,0,1,0,0,1,6,52.0,Other,S
0,Miss.,20,female,14.5,1,0,0,1,0,3,4,14.4542,G,C
0,Mr.,22,male,22.0,0,0,1,0,0,3,6,8.05,G,S
0,Miss.,23,female,20.0,1,0,0,1,0,3,4,9.825,G,S
0,Miss.,21,female,17.0,0,0,1,0,0,3,4,14.4583,G,C
0,Mr.,21,male,21.0,0,0,1,0,0,3,17,7.925,G,S
0,Mr.,20,male,70.5,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,31,male,29.0,1,0,0,1,0,2,5,21.0,D,S
0,Mr.,24,male,24.0,0,1,0,1,0,1,8,247.5208,Other,C
0,Miss.,33,female,2.0,4,2,0,0,1,3,6,31.275,G,S
0,Mr.,27,male,21.0,2,0,0,1,0,2,12,73.5,F,S
0,Mr.,26,male,32.0,0,0,1,0,0,3,9,8.05,G,S
0,Mr.,20,male,32.5,1,0,0,1,0,2,6,30.0708,F,C
1,Miss.,19,female,32.5,0,0,1,0,0,2,5,13.0,Other,S
0,Mr.,27,male,54.0,0,1,0,1,0,1,5,77.2875,Other,S
1,Master.,28,male,12.0,1,0,0,1,0,3,4,11.2417,G,C
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.75,G,Q
1,Mr.,25,male,24.0,0,0,1,0,0,3,7,7.1417,G,S
1,Miss.,17,female,27.0,1,1,0,1,0,3,4,22.3583,Other,C
0,Mr.,18,male,45.0,0,0,1,0,0,3,6,6.975,G,S
0,Mr.,20,male,33.0,0,0,1,0,0,3,6,7.8958,G,C
0,Mr.,30,male,20.0,0,0,1,0,0,3,18,7.05,G,S
0,Mrs.,46,female,47.0,1,0,0,1,0,3,9,14.5,G,S
1,Mrs.,45,female,29.0,1,0,0,1,0,2,6,26.0,F,S
0,Mr.,30,male,25.0,0,0,1,0,0,2,10,13.0,D,S
0,Mr.,18,male,23.0,0,0,1,0,0,2,13,15.0458,D,C
1,Miss.,28,female,19.0,0,2,0,1,0,1,5,26.2833,Other,S
0,Mr.,27,male,37.0,1,0,0,1,0,1,6,53.1,Other,S
0,Mr.,19,male,16.0,0,0,1,0,0,3,4,9.2167,G,S
0,Mr.,18,male,24.0,0,0,1,0,0,1,8,79.2,Other,C
0,Mrs.,29,female,23.0,0,2,0,1,0,3,4,15.2458,G,C
1,Miss.,24,female,22.0,0,0,1,0,0,3,6,7.75,G,S
1,Mrs.,52,female,24.0,1,0,0,1,0,3,16,15.85,G,S
0,Mr.,19,male,19.0,0,0,1,0,0,3,6,6.75,G,Q
0,Mr.,26,male,18.0,0,0,1,0,0,2,6,11.5,D,S
0,Mr.,28,male,19.0,1,1,0,1,0,2,10,36.75,F,S
1,Mr.,44,male,27.0,0,0,1,0,0,3,6,7.7958,G,S
0,Miss.,32,female,9.0,2,2,0,1,0,3,10,34.375,G,S
0,Mr.,40,male,36.5,0,2,0,1,0,2,6,26.0,F2,S
0,Rev.,33,male,42.0,0,0,1,0,0,2,6,13.0,D,S
0,Rev.,26,male,51.0,0,0,1,0,0,2,11,12.525,D,S
1,Mrs.,33,female,22.0,1,0,0,1,0,1,6,66.6,Other,S
0,Mr.,16,male,55.5,0,0,1,0,0,3,10,8.05,G,S
0,Mr.,31,male,40.5,0,2,0,1,0,3,8,14.5,G,S
0,Mr.,21,male,32.0,0,0,1,0,0,3,9,7.3125,G,S
0,Mr.,27,male,51.0,0,1,0,1,0,1,8,61.3792,B,C
1,Miss.,32,female,16.0,0,0,1,0,0,3,5,7.7333,G,Q
0,Mr.,15,male,30.0,0,0,1,0,0,3,15,8.05,G,S
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,8.6625,G,S
0,Master.,26,male,14.0,8,2,0,0,1,3,8,69.55,G,S
0,Mr.,24,male,44.0,0,1,0,1,0,3,6,16.1,G,S
1,Mrs.,50,female,40.0,0,0,1,0,0,2,10,15.75,D,S
0,Mr.,26,male,26.0,0,0,1,0,0,3,6,7.775,G,S
0,Mr.,15,male,17.0,0,0,1,0,0,3,6,8.6625,G,S
0,Master.,28,male,1.0,4,1,0,0,1,3,7,39.6875,G,S
1,Master.,47,male,9.0,0,2,0,1,0,3,6,20.525,G,S
1,Mrs.,38,female,30.0,0,1,0,1,0,1,6,55.0,Other,S
0,Mrs.,47,female,45.0,1,4,0,0,1,3,6,27.9,G,S
0,Mr.,19,male,32.0,0,0,1,0,0,1,8,25.925,A,S
0,Mr.,13,male,28.0,0,0,1,0,0,3,4,56.4958,G,S
0,Mr.,25,male,61.0,0,0,1,0,0,1,6,33.5,Other,S
0,Master.,20,male,4.0,4,1,0,0,1,3,6,29.125,G,Q
1,Miss.,28,female,1.0,1,1,0,1,0,3,6,11.1333,G,S
0,Mr.,25,male,21.0,0,0,1,0,0,3,17,7.925,G,S
0,Mr.,23,male,56.0,0,0,1,0,0,1,5,30.6958,Other,C
0,Mr.,22,male,18.0,1,1,0,1,0,3,6,7.8542,G,S
0,Master.,29,male,10.0,3,1,0,0,1,3,4,25.4667,G,S
0,Miss.,26,female,50.0,0,0,1,0,0,1,8,28.7125,Other,C
0,Mr.,18,male,30.0,0,0,1,0,0,2,6,13.0,D,S
0,Mr.,19,male,36.0,0,0,1,0,0,3,4,0.0,G,S
0,Miss.,28,female,14.0,8,2,0,0,1,3,8,69.55,G,S
0,Mr.,16,male,32.0,0,0,1,0,0,2,13,15.05,D,C
0,Master.,37,male,9.0,4,2,0,0,1,3,6,31.3875,G,S
1,Master.,25,male,1.0,2,1,0,1,0,2,6,39.0,F4,S
1,Miss.,35,female,4.0,0,2,0,1,0,3,6,22.025,G,S
0,Mr.,21,male,32.0,0,0,1,0,0,1,6,50.0,Other,S
1,Mrs.,47,female,34.0,1,0,0,1,0,3,6,15.5,G,Q
1,Mr.,45,male,45.0,0,0,1,0,0,1,6,26.55,A,S
0,Mr.,16,male,40.0,1,1,0,1,0,3,6,15.5,G,Q
0,Mr.,19,male,36.0,0,0,1,0,0,3,6,7.8958,G,S
1,Mrs.,19,female,32.0,0,0,1,0,0,2,6,13.0,D,S
0,Mr.,21,male,19.0,0,0,1,0,0,2,5,13.0,D,S
1,Miss.,47,female,19.0,1,0,0,1,0,3,6,7.8542,G,S
1,Master.,26,male,3.0,1,1,0,1,0,2,6,26.0,F2,S
1,Mrs.,41,female,44.0,0,0,1,0,0,1,8,27.7208,Other,C
1,Miss.,20,female,58.0,0,0,1,0,0,1,8,146.5208,Other,C
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,32,male,42.0,0,1,0,1,0,3,4,8.4042,G,S
1,Miss.,32,female,32.0,0,0,1,0,0,3,6,7.75,G,Q
0,Miss.,38,female,24.0,0,0,1,0,0,2,6,13.0,D,S
0,Mr.,30,male,28.0,0,0,1,0,0,3,6,9.5,G,S
0,Mr.,19,male,14.0,8,2,0,0,1,3,8,69.55,G,S
0,Mr.,26,male,34.0,0,0,1,0,0,3,7,6.4958,G,S
0,Mr.,20,male,45.5,0,0,1,0,0,3,4,7.225,G,C
1,Mr.,24,male,18.0,0,0,1,0,0,3,8,8.05,G,S
0,Miss.,26,female,2.0,0,1,0,1,0,3,6,10.4625,G6,S
0,Mr.,26,male,32.0,1,0,0,1,0,3,7,15.85,G,S
1,Mr.,27,male,26.0,0,0,1,0,0,3,4,18.7875,G,C
1,Miss.,25,female,16.0,0,0,1,0,0,3,6,7.75,G,Q
1,Mr.,16,male,40.0,0,0,1,0,0,1,6,31.0,Other,C
0,Mr.,14,male,24.0,0,0,1,0,0,3,18,7.05,G,S
1,Miss.,26,female,35.0,0,0,1,0,0,2,12,21.0,D,S
0,Mr.,22,male,22.0,0,0,1,0,0,3,9,7.25,G,S
0,Mr.,27,male,30.0,0,0,1,0,0,2,6,13.0,D,S
0,Mr.,19,male,34.0,1,0,0,1,0,3,6,7.75,G,Q
1,Miss.,23,female,31.0,1,0,0,1,0,1,5,113.275,Other,C
1,Miss.,22,female,27.0,0,0,1,0,0,3,16,7.925,G,S
0,Mr.,28,male,42.0,1,0,0,1,0,2,6,27.0,F,S
1,Miss.,21,female,32.0,0,0,1,0,0,1,5,76.2917,Other,C
0,Mr.,18,male,30.0,0,0,1,0,0,2,9,10.5,D,S
1,Mr.,30,male,16.0,0,0,1,0,0,3,15,8.05,G,S
0,Mr.,20,male,27.0,0,0,1,0,0,2,6,13.0,D,S
0,Mr.,23,male,51.0,0,0,1,0,0,3,5,8.05,G,S
0,Mr.,20,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
1,Mr.,28,male,38.0,1,0,0,1,0,1,5,90.0,Other,S
0,Mr.,28,male,22.0,0,0,1,0,0,3,7,9.35,G,S
1,Mr.,25,male,19.0,0,0,1,0,0,2,9,10.5,D,S
0,Mr.,31,male,20.5,0,0,1,0,0,3,9,7.25,G,S
0,Mr.,25,male,18.0,0,0,1,0,0,2,6,13.0,D,S
0,Miss.,23,female,10.0,3,1,0,0,1,3,4,25.4667,G,S
1,Mrs.,44,female,35.0,1,0,0,1,0,1,5,83.475,Other,S
0,Mr.,24,male,29.0,0,0,1,0,0,3,6,7.775,G,S
0,Mr.,25,male,59.0,0,0,1,0,0,2,6,13.5,D,S
1,Miss.,30,female,5.0,4,2,0,0,1,3,6,31.3875,G,S
0,Mr.,33,male,24.0,0,0,1,0,0,2,10,10.5,D,S
0,Miss.,28,female,32.0,0,0,1,0,0,3,10,7.55,G,S
0,Mr.,17,male,44.0,1,0,0,1,0,2,5,26.0,F,S
1,Miss.,32,female,8.0,0,2,0,1,0,2,10,26.25,F,S
0,Mr.,31,male,19.0,0,0,1,0,0,2,5,10.5,D,S
0,Mr.,22,male,33.0,0,0,1,0,0,2,10,12.275,D,S
0,Miss.,21,female,34.0,1,0,0,1,0,3,4,14.4542,G,C
1,Miss.,30,female,34.0,1,0,0,1,0,3,6,15.5,G,Q
0,Mr.,31,male,29.0,0,0,1,0,0,2,11,10.5,D,S
0,Mr.,29,male,22.0,0,0,1,0,0,3,17,7.125,G,S
0,Mr.,20,male,30.0,0,0,1,0,0,3,4,7.225,G,C
0,Dr.,27,male,44.0,2,0,0,1,0,1,5,90.0,C78,Q
0,Miss.,37,female,25.0,0,0,1,0,0,3,6,7.775,G,S
1,Mrs.,31,female,24.0,0,2,0,1,0,2,6,14.5,D,S
1,Mr.,29,male,37.0,1,1,0,1,0,1,5,52.5542,Other,S
0,Rev.,29,male,54.0,1,0,0,1,0,2,6,26.0,F,S
0,Mr.,22,male,32.0,0,0,1,0,0,3,6,7.25,G,S
0,Mrs.,42,female,29.0,1,1,0,1,0,3,6,10.4625,G6,S
0,Mr.,25,male,62.0,0,0,1,0,0,1,6,26.55,Other,S
0,Mr.,24,male,30.0,1,0,0,1,0,3,9,16.1,G,S
0,Mrs.,40,female,41.0,0,2,0,1,0,3,6,20.2125,G,S
1,Mrs.,39,female,29.0,0,2,0,1,0,3,4,15.2458,G,C
1,Mrs.,30,female,32.0,0,0,1,0,0,1,8,79.2,C,C
1,Miss.,20,female,30.0,0,0,1,0,0,1,6,86.5,Other,S
1,Miss.,16,female,35.0,0,0,1,0,0,1,8,512.3292,C,C
1,Mrs.,27,female,50.0,0,1,0,1,0,2,6,26.0,F,S
0,Mr.,17,male,32.0,0,0,1,0,0,3,6,7.75,G,Q
1,Master.,33,male,3.0,4,2,0,0,1,3,6,31.3875,G,S
0,Mr.,17,male,52.0,1,1,0,1,0,1,6,79.65,Other,S
0,Mr.,21,male,40.0,0,0,1,0,0,1,6,0.0,Other,S
0,Miss.,18,female,32.0,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,17,male,36.0,0,0,1,0,0,2,10,10.5,D,S
0,Mr.,25,male,16.0,4,1,0,0,1,3,7,39.6875,G,S
1,Mr.,24,male,25.0,1,0,0,1,0,3,6,7.775,G,S
1,Mrs.,45,female,58.0,0,1,0,1,0,1,8,153.4625,Other,S
1,Miss.,22,female,35.0,0,0,1,0,0,1,8,135.6333,Other,S
0,Mr.,21,male,32.0,0,0,1,0,0,1,6,31.0,A,S
1,Mr.,28,male,25.0,0,0,1,0,0,3,4,0.0,G,S
1,Mrs.,41,female,41.0,0,1,0,1,0,2,6,19.5,D,S
0,Mr.,21,male,37.0,0,1,0,1,0,1,8,29.7,Other,C
1,Miss.,26,female,32.0,0,0,1,0,0,3,6,7.75,G,Q
1,Miss.,33,female,63.0,1,0,0,1,0,1,5,77.9583,Other,S
0,Miss.,33,female,45.0,0,0,1,0,0,3,6,7.75,G,S
0,Mr.,27,male,32.0,0,0,1,0,0,2,6,0.0,E,S
0,Master.,18,male,7.0,4,1,0,0,1,3,6,29.125,G,Q
1,Mrs.,32,female,35.0,1,1,0,1,0,3,9,20.25,G,S
0,Mr.,16,male,65.0,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,32,male,28.0,0,0,1,0,0,3,6,7.8542,G,S
0,Mr.,25,male,16.0,0,0,1,0,0,3,6,9.5,G,S
1,Mr.,26,male,19.0,0,0,1,0,0,3,10,8.05,G,S
0,Mr.,26,male,32.0,0,0,1,0,0,1,6,26.0,Other,S
0,Mr.,19,male,33.0,0,0,1,0,0,3,6,8.6625,G,C
1,Mr.,23,male,30.0,0,0,1,0,0,3,6,9.5,G,S
0,Mr.,20,male,22.0,0,0,1,0,0,3,6,7.8958,G,S
1,Mr.,20,male,42.0,0,0,1,0,0,2,6,13.0,D,S
1,Miss.,20,female,22.0,0,0,1,0,0,3,6,7.75,G,Q
1,Miss.,28,female,26.0,0,0,1,0,0,1,5,78.85,C,S
1,Mrs.,39,female,19.0,1,0,0,1,0,1,5,91.0792,Other,C
0,Mr.,22,male,36.0,0,0,1,0,0,2,13,12.875,D,C
0,Miss.,19,female,24.0,0,0,1,0,0,3,6,8.85,G,S
0,Mr.,16,male,24.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,17,male,32.0,0,0,1,0,0,1,8,27.7208,A,C
0,Mr.,18,male,23.5,0,0,1,0,0,3,4,7.2292,G,C
0,Miss.,28,female,2.0,1,2,0,1,0,1,6,151.55,C22 C26,S
1,Mr.,21,male,32.0,0,0,1,0,0,1,5,30.5,Other,S
1,Mrs.,47,female,50.0,0,1,0,1,0,1,8,247.5208,Other,C
1,Miss.,40,female,32.0,0,0,1,0,0,3,4,7.75,G,Q
1,Mr.,18,male,32.0,2,0,0,1,0,3,6,23.25,G,Q
0,Mr.,31,male,19.0,0,0,1,0,0,3,4,0.0,G,S
1,Miss.,19,female,32.0,0,0,1,0,0,2,6,12.35,Other,Q
0,Mr.,33,male,32.0,0,0,1,0,0,3,8,8.05,G,S
1,Master.,30,male,0.92,1,2,0,1,0,1,6,151.55,C22 C26,S
1,Miss.,23,female,32.0,0,0,1,0,0,1,5,110.8833,C,C
1,Mrs.,82,female,17.0,1,0,0,1,0,1,8,108.9,Other,C
0,Mr.,19,male,30.0,1,0,0,1,0,2,9,24.0,D,C
1,Miss.,30,female,30.0,0,0,1,0,0,1,8,56.9292,Other,C
1,Miss.,30,female,24.0,0,0,1,0,0,1,5,83.1583,Other,C
1,Miss.,26,female,18.0,2,2,0,1,0,1,8,262.375,B57 B59 B63 B66,C
0,Mrs.,37,female,26.0,1,1,0,1,0,2,6,26.0,F,S
0,Mr.,22,male,28.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,18,male,43.0,1,1,0,1,0,2,12,26.25,F,S
1,Miss.,31,female,26.0,0,0,1,0,0,3,6,7.8542,G,S
1,Mrs.,35,female,24.0,1,0,0,1,0,2,6,26.0,F,S
0,Dr.,20,male,54.0,0,0,1,0,0,2,5,14.0,D,S
1,Miss.,24,female,31.0,0,2,0,1,0,1,5,164.8667,Other,S
1,Mrs.,56,female,40.0,1,1,0,1,0,1,5,134.5,Other,C
0,Mr.,18,male,22.0,0,0,1,0,0,3,9,7.25,G,S
0,Mr.,16,male,27.0,0,0,1,0,0,3,6,7.8958,G,S
1,Miss.,25,female,30.0,0,0,1,0,0,2,6,12.35,D,Q
1,Mrs.,51,female,22.0,1,1,0,1,0,2,6,29.0,F,S
